"time","Out1","Out2","Out3","Out4"
0.337,0.667172,0.286091,0.254972,0
0.338,0.668348,0.286805,0.255956,0
0.339,0.66952,0.287518,0.25694,0
0.34,0.670688,0.28823,0.257924,0
0.341,0.671853,0.288941,0.258909,0
0.342,0.673014,0.289652,0.259894,0
0.343,0.674171,0.290362,0.260879,0
0.344,0.675325,0.291071,0.261864,0
0.345,0.676475,0.29178,0.262849,0
0.346,0.677622,0.292488,0.263835,0
0.347,0.678765,0.293195,0.26482,0
0.348,0.679904,0.293901,0.265806,0
0.349,0.68104,0.294607,0.266792,0
0.35,0.682172,0.295312,0.267778,0
0.351,0.6833,0.296016,0.268765,0
0.352,0.684425,0.29672,0.269751,0
0.353,0.685547,0.297423,0.270738,0
0.354,0.686664,0.298125,0.271725,0
0.355,0.687779,0.298827,0.272712,0
0.356,0.688889,0.299527,0.273699,0
0.357,0.689996,0.300228,0.274686,0
0.358,0.6911,0.300927,0.275674,0
0.359,0.6922,0.301626,0.276662,0
0.36,0.693296,0.302324,0.277649,0
0.361,0.694389,0.303021,0.278637,0
0.362,0.695479,0.303718,0.279625,0
0.363,0.696565,0.304414,0.280614,0
0.364,0.697647,0.305109,0.281602,0
0.365,0.698726,0.305803,0.282591,0
0.366,0.699801,0.306497,0.283579,0
0.367,0.700873,0.30719,0.284568,0
0.368,0.701942,0.307883,0.285557,0
0.369,0.703007,0.308575,0.286546,0
0.37,0.704068,0.309266,0.287535,0
0.371,0.705126,0.309956,0.288525,0
0.372,0.706181,0.310646,0.289514,0
0.373,0.707232,0.311335,0.290504,0
0.374,0.70828,0.312023,0.291494,0
0.375,0.709324,0.312711,0.292483,0
0.376,0.710365,0.313398,0.293473,0
0.377,0.711402,0.314084,0.294464,0
0.378,0.712436,0.314769,0.295454,0
0.379,0.713467,0.315454,0.296444,0
0.38,0.714494,0.316139,0.297435,0
0.381,0.715518,0.316822,0.298425,0
0.382,0.716538,0.317505,0.299416,0
0.383,0.717555,0.318187,0.300407,0
0.384,0.718569,0.318869,0.301398,0
0.385,0.719579,0.319549,0.302389,0
0.386,0.720586,0.320229,0.30338,0
0.387,0.72159,0.320909,0.304371,0
0.388,0.72259,0.321588,0.305363,0
0.389,0.723587,0.322266,0.306354,0
0.39,0.724581,0.322943,0.307346,0
0.391,0.725571,0.32362,0.308337,0
0.392,0.726558,0.324296,0.309329,0
0.393,0.727542,0.324971,0.310321,0
0.394,0.728522,0.325646,0.311313,0
0.395,0.729499,0.32632,0.312305,0
0.396,0.730473,0.326993,0.313297,0
0.397,0.731443,0.327666,0.314289,0
0.398,0.73241,0.328338,0.315282,0
0.399,0.733374,0.329009,0.316274,0
0.4,0.734335,0.32968,0.317267,0
0.401,0.735292,0.33035,0.31826,0
